97686250,Rödabergsskolan
19942197,Sandåkraskolan
15331669,Sjöstadsskolan
70592143,Sjöviksskolan
13124830,Sjöängsskolan
76952966,Skanskvarnsskolan
82075850,Skarpatorpsskolan
53075005,Skarpnäcks skola
23414344,Skolgrunden
99022046,Sköndalsskolan
87920455,Skönstaholmsskolan
59468219,Slättgårdsskolan
50060022,Smedshagsskolan
33922950,Smedslättsskolan
57510246,Snitz Grundskola Odenplan
29705473,Snösätraskolan
45436515,Sofia skola
86086213,Sofiaängens skola
34671128,Solbergaskolan
26852132,Solhemsskolan
17640364,Spånga grundskola
94943347,S:t Eriks Katolska Skola
53147557,Stefanskolan
45553352,Sthlms Int. Montessoriskola
85670099,Stift. Sthlm Intern. School gr
11442396,Stockholm International Academy Hägersten
23498302,Stockholms Montessoriskola Anne Frank
41405700,Storkyrkoskolan
91352227,Studemaskolan
91816093,Sturebyskolan
44046131,Sundbyskolan
39923451,Sverigefinska skolan i Kista
78508835,Sverigefinska skolan Sthlm
21724208,Sätraskolan
18064456,Söderholmsskolan
75614609,Södermalmsskolan
88795871,Södra Ängby skola
63329692,Sörgårdsskolan
14479858,Tallkrogens skola
82448624,Tasava skola
64732323,The Tanto International School
87999453,Thea Privata Grundskola Bromma
29796042,Tornadoskolan AB
89605548,Trollbodaskolan
94677983,Tullgårdsskolan
53175499,Tyska skolan
68893390,Ulvsundaskolan
29270748,Vanadisskolan
52965560,Vasa ISS
33733966,Vasa ISS - International section
52863414,Vasa Real
75656508,Vasastans Montessoriskola
86758230,Viktor Rydbergs skola Vasastan
97400863,Vinsta grundskola västra
42912378,Vinsta grundskola östra
28138418,Vintertullsskolan i Stockholm
71669600,Vittra Luma Park
59900714,Vittra Södermalm
67662754,Vittra Telefonplan
10230535,Vällingby Park
36031993,Vällingbyskolan
64736967,Västbergaskolan
35890890,Västerholms friskola
92007673,Västertorpsskolan
87719096,Ålstensskolan
27273328,Årstadalsskolan
48328583,Årstaskolan
94864296,Åsö grundskola
15594566,Äppelviksskolan
39171821,Örbyskolan
22030561,Östbergaskolan
96984023,Östermalmsskolan
